"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","total_sq_footage","total_baths","logsaleprice","logBSMTFinSF1","logTotalBSMTSF","logGrLivArea"
12,60,"RL",85,11924,"Pave","NoData","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ",998,"Unf",0,177,1175,"GasA","Ex","Y","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,"Ex",11,"Typ",2,"Gd","BuiltIn",2005,"Fin",3,736,"TA","TA","Y",147,21,0,0,0,0,"NoData","NoData","NoData",0,7,2006,"New","Partial",345000,3499,4,12.75130259456,6.90675477864855,7.06987412845857,7.7510451179718
14,20,"RL",91,10652,"Pave","NoData","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1494,1494,"GasA","Ex","Y","SBrkr",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2006,"RFn",3,840,"TA","TA","Y",160,33,0,0,0,0,"NoData","NoData","NoData",0,8,2007,"New","Partial",279500,2988,2,12.5407611493884,0,7.30988148582479,7.30921236569276
16,45,"RM",51,6120,"Pave","NoData","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,832,832,"GasA","Ex","Y","FuseA",854,0,0,854,0,0,1,0,2,1,"TA",5,"Typ",0,"NoData","Detchd",1991,"Unf",2,576,"TA","TA","Y",48,112,0,0,0,0,"NoData","GdPrv","NoData",0,7,2007,"WD","Normal",132000,1686,1,11.7905647772974,0,6.72503364216684,6.74993119378857
18,90,"RL",72,10791,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","NoData","NoData","NoData","NoData",0,"NoData",0,0,0,"GasA","TA","Y","SBrkr",1296,0,0,1296,0,0,2,0,2,2,"TA",6,"Typ",0,"NoData","CarPort",1967,"Unf",2,516,"TA","TA","Y",0,0,0,0,0,0,"NoData","NoData","Shed",500,10,2006,"WD","Normal",90000,1296,2,11.4075760603618,0,0,7.16703787691222
19,20,"RL",66,13695,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",646,"Unf",0,468,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,"Typ",0,"NoData","Detchd",2004,"Unf",2,576,"TA","TA","Y",0,102,0,0,0,0,"NoData","NoData","NoData",0,6,2008,"WD","Normal",159000,2228,2.5,11.9766657704908,6.4723462945009,7.01660968389422,7.01571242048723
20,20,"RL",70,7560,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",504,"Unf",0,525,1029,"GasA","TA","Y","SBrkr",1339,0,0,1339,0,0,1,0,3,1,"TA",6,"Min1",0,"NoData","Attchd",1958,"Unf",1,294,"TA","TA","Y",0,0,0,0,0,0,"NoData","MnPrv","NoData",0,5,2009,"COD","Abnorml",139000,2368,1,11.8422364063316,6.22455842927536,6.93731408122368,7.19967834569117
21,60,"RL",101,14215,"Pave","NoData","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1158,1158,"GasA","Ex","Y","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2005,"RFn",3,853,"TA","TA","Y",240,154,0,0,0,0,"NoData","NoData","NoData",0,11,2006,"New","Partial",325300,3534,3.5,12.6925061865422,0,7.05531284333975,7.77317368048254
22,45,"RM",57,7449,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,637,637,"GasA","Ex","Y","FuseF",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",1930,"Unf",1,280,"TA","TA","N",0,0,205,0,0,0,"NoData","GdPrv","NoData",0,6,2007,"WD","Normal",139400,1745,1,11.845109950884,0,6.45833828334479,7.01031186730723
23,20,"RL",75,9742,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1777,1777,"GasA","Ex","Y","SBrkr",1795,0,0,1795,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2002,"RFn",2,534,"TA","TA","Y",171,159,0,0,0,0,"NoData","NoData","NoData",0,9,2008,"WD","Normal",230000,3572,2,12.345838935722,0,7.48324441607385,7.49276030092238
24,120,"RM",44,4224,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",840,"Unf",0,200,1040,"GasA","TA","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"Unf",2,572,"TA","TA","Y",100,110,0,0,0,0,"NoData","NoData","NoData",0,6,2007,"WD","Normal",129900,2100,2,11.7745279008585,6.73459165997295,6.94793706861497,6.96602418710611
26,20,"RL",110,14230,"Pave","NoData","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1566,1566,"GasA","Ex","Y","SBrkr",1600,0,0,1600,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2007,"RFn",3,890,"TA","TA","Y",0,56,0,0,0,0,"NoData","NoData","NoData",0,7,2009,"WD","Normal",256300,3166,2,12.4541078140223,0,7.35691824235602,7.37775890822787
27,20,"RL",60,7200,"Pave","NoData","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",234,"Rec",486,180,900,"GasA","TA","Y","SBrkr",900,0,0,900,0,1,1,0,3,1,"Gd",5,"Typ",0,"NoData","Detchd",2005,"Unf",2,576,"TA","TA","Y",222,32,0,0,0,0,"NoData","NoData","NoData",0,5,2010,"WD","Normal",134800,1800,1.5,11.8115548958305,5.45958551414416,6.80350525760834,6.80239476332431
28,20,"RL",98,11478,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ",1218,"Unf",0,486,1704,"GasA","Ex","Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2008,"RFn",3,772,"TA","TA","Y",0,50,0,0,0,0,"NoData","NoData","NoData",0,5,2010,"WD","Normal",306000,3408,3,12.631343648903,7.10578612948127,7.44132038971762,7.44073370738926
29,20,"RL",47,16321,"Pave","NoData","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",1277,"Unf",0,207,1484,"GasA","TA","Y","SBrkr",1600,0,0,1600,1,0,1,0,2,1,"TA",6,"Typ",2,"Gd","Attchd",1957,"RFn",1,319,"TA","TA","Y",288,258,0,0,0,0,"NoData","NoData","NoData",0,12,2006,"WD","Normal",207500,3084,2,12.2428914379184,7.15305163493748,7.3031700512368,7.37775890822787
30,30,"RM",60,6324,"Pave","NoData","IR1","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story",4,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,520,520,"GasA","Fa","N","SBrkr",520,0,0,520,0,0,1,0,1,1,"Fa",4,"Typ",0,"NoData","Detchd",1920,"Unf",1,240,"Fa","TA","Y",49,0,87,0,0,0,"NoData","NoData","NoData",0,5,2008,"WD","Normal",68500,1040,1,11.1346036226839,0,6.25575004175337,6.25382881157547
31,70,"C (all)",50,8500,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,1920,1950,"Gambrel","CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",0,649,649,"GasA","TA","N","SBrkr",649,668,0,1317,0,0,1,0,3,1,"TA",6,"Typ",0,"NoData","Detchd",1920,"Unf",1,250,"TA","Fa","N",0,54,172,0,0,0,"NoData","MnPrv","NoData",0,7,2008,"WD","Normal",40000,1966,1,10.5966597327836,0,6.47697236288968,7.18311170174328
33,20,"RL",85,11049,"Pave","NoData","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1234,1234,"GasA","Ex","Y","SBrkr",1234,0,0,1234,0,0,2,0,3,1,"Gd",7,"Typ",0,"NoData","Attchd",2007,"RFn",2,484,"TA","TA","Y",0,30,0,0,0,0,"NoData","NoData","NoData",0,1,2008,"WD","Normal",179900,2468,2,12.1001619785669,0,7.11882624906208,7.11801620446533
34,20,"RL",70,10552,"Pave","NoData","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec",1018,"Unf",0,380,1398,"GasA","Gd","Y","SBrkr",1700,0,0,1700,0,1,1,1,4,1,"Gd",6,"Typ",1,"Gd","Attchd",1959,"RFn",2,447,"TA","TA","Y",0,38,0,0,0,0,"NoData","NoData","NoData",0,4,2010,"WD","Normal",165500,3098,2,12.0167325160771,6.92657703322272,7.24351297466548,7.43838353004431
35,120,"RL",60,7313,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","GLQ",1153,"Unf",0,408,1561,"GasA","Ex","Y","SBrkr",1561,0,0,1561,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,556,"TA","TA","Y",203,47,0,0,0,0,"NoData","NoData","NoData",0,8,2007,"WD","Normal",277500,3122,3,12.5335798157657,7.05098944706805,7.35372233039963,7.35308192051543
36,60,"RL",108,13418,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1117,1117,"GasA","Ex","Y","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2004,"Fin",3,691,"TA","TA","Y",113,32,0,0,0,0,"NoData","NoData","NoData",0,9,2006,"WD","Normal",309000,3569,3.5,12.6410997921206,0,7.01929665371504,7.8046592970561
37,20,"RL",112,10859,"Pave","NoData","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1097,1097,"GasA","Ex","Y","SBrkr",1097,0,0,1097,0,0,1,1,3,1,"TA",6,"Typ",0,"NoData","Attchd",1995,"Unf",2,672,"TA","TA","Y",392,64,0,0,0,0,"NoData","NoData","NoData",0,6,2009,"WD","Normal",145000,2194,1.5,11.8844959179307,0,7.00124562206948,7.00033446027523
38,20,"RL",74,8532,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1990,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","TA","TA","No","Rec",1213,"Unf",0,84,1297,"GasA","Gd","Y","SBrkr",1297,0,0,1297,0,1,1,0,3,1,"TA",5,"Typ",1,"TA","Attchd",1954,"Fin",2,498,"TA","TA","Y",0,0,0,0,0,0,"NoData","NoData","NoData",0,10,2009,"WD","Normal",153000,2594,1.5,11.9381997363009,7.10167597161944,7.16857989726403,7.16780918431644
39,20,"RL",68,7922,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1953,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ",731,"Unf",0,326,1057,"GasA","TA","Y","SBrkr",1057,0,0,1057,1,0,1,0,3,1,"Gd",5,"Typ",0,"NoData","Detchd",1953,"Unf",1,246,"TA","TA","Y",0,52,0,0,0,0,"NoData","NoData","NoData",0,1,2010,"WD","Abnorml",109000,2114,2,11.5991123354811,6.59578051396131,6.96413561241824,6.96318998587024
40,90,"RL",65,6040,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood","None",0,"TA","TA","PConc","NoData","NoData","NoData","NoData",0,"NoData",0,0,0,"GasA","TA","N","FuseP",1152,0,0,1152,0,0,2,0,2,2,"Fa",6,"Typ",0,"NoData","NoData",-1,"NoData",0,0,"NoData","NoData","N",0,0,0,0,0,0,"NoData","NoData","NoData",0,6,2008,"WD","AdjLand",82000,1152,2,11.314486721294,0,0,7.04925484125584
41,20,"RL",84,8658,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","TA","No","Rec",643,"Unf",0,445,1088,"GasA","Ex","Y","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1965,"RFn",2,440,"TA","TA","Y",0,138,0,0,0,0,"NoData","GdWo","NoData",0,12,2006,"WD","Abnorml",160000,2412,2,11.9829353441964,6.46769872610435,6.99301512293296,7.18841273649695
42,20,"RL",115,16905,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ",967,"Unf",0,383,1350,"GasA","Gd","Y","SBrkr",1328,0,0,1328,0,1,1,1,2,1,"TA",5,"Typ",2,"Gd","Attchd",1959,"RFn",1,308,"TA","TA","P",0,104,0,0,0,0,"NoData","NoData","NoData",0,7,2007,"WD","Normal",170000,2678,2,12.043559598368,6.87523208727658,7.2086003379602,7.19142933003638
45,20,"RL",70,7945,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",179,"BLQ",506,465,1150,"GasA","Ex","Y","FuseA",1150,0,0,1150,1,0,1,0,3,1,"TA",6,"Typ",0,"NoData","Attchd",1959,"RFn",1,300,"TA","TA","Y",0,0,0,0,0,0,"NoData","NoData","NoData",0,5,2006,"WD","Normal",141000,2300,2,11.8565222615337,5.19295685089021,7.04838640872188,7.0475172213573
46,120,"RL",61,7658,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","Ex","TA","No","GLQ",456,"Unf",0,1296,1752,"GasA","Ex","Y","SBrkr",1752,0,0,1752,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2005,"RFn",2,576,"TA","TA","Y",196,82,0,0,0,0,"NoData","NoData","NoData",0,2,2010,"WD","Normal",319900,3504,3,12.6757668519096,6.12468339089421,7.46908388492123,7.46851327149634
47,50,"RL",48,12822,"Pave","NoData","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ",1351,"Unf",0,83,1434,"GasA","Ex","Y","SBrkr",1518,631,0,2149,1,0,1,1,1,1,"Gd",6,"Typ",1,"Ex","Attchd",2003,"RFn",2,670,"TA","TA","Y",168,43,0,0,198,0,"NoData","NoData","NoData",0,8,2009,"WD","Abnorml",239686,3583,2.5,12.387089184492,7.20934025660291,7.26892012819372,7.67275789664251
48,20,"FV",84,11096,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",24,"Unf",0,1632,1656,"GasA","Ex","Y","SBrkr",1656,0,0,1656,0,0,2,0,3,1,"Gd",7,"Typ",0,"NoData","Attchd",2006,"RFn",3,826,"TA","TA","Y",0,146,0,0,0,0,"NoData","NoData","NoData",0,7,2007,"WD","Normal",249700,3312,2,12.4280194810656,3.2188758248682,7.41276401742656,7.4121603349452
49,190,"RM",33,4456,"Pave","NoData","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,736,736,"GasA","Gd","Y","SBrkr",736,716,0,1452,0,0,2,0,2,3,"TA",8,"Typ",0,"NoData","NoData",-1,"NoData",0,0,"NoData","NoData","N",0,0,102,0,0,0,"NoData","NoData","NoData",0,6,2009,"New","Partial",113000,2188,2,11.6351519472128,0,6.60258789218934,7.28069719538474
